TTFB;FCP;LCP;Duration;DomInteractive;NumberOfRequests;TotallyTransferredKBytes
32,30000000074506;2055,9000000003725;2146,5;2071,100000000559;2051,600000000559;24;1034,591
30,300000000745058;2059,300000000745;2146,100000000559;2076,4000000003725;2051,7000000001863;24;1034,591
32,09999999962747;2062,699999999255;2145,2999999998137;2075,5;2053,199999999255;24;1034,591
33,799999999813735;2061,2999999998137;2152,4000000003725;2083,4000000003725;2057,2999999998137;24;1034,591
29,799999999813735;2064;2146,7999999998137;2076,699999999255;2054;24;1034,591
31,700000000186265;2054,300000000745;2144,9000000003725;2073,300000000745;2049,600000000559;24;1034,591
31,299999999813735;2060,0999999996275;2138,2000000001863;2069,7000000001863;2051,5999999996275;24;1034,591
32,80000000074506;2058,5;2139;2068,2000000001863;2049,2000000001863;24;1034,591
31;2072;2158,2000000001863;2088,2999999998137;2061,2999999998137;24;1034,591
32;2060,0999999996275;2151,7000000001863;2080,7999999998137;2053,7000000001863;24;1034,591
