TTFB;FCP;LCP;Duration;DomInteractive;NumberOfRequests;TotallyTransferredKBytes
40,09999999997672;7202,79999999993;42455,90000000002;34955,29999999993;7199,900000000023;25;1214,206
30,800000000046566;6948;42450,39999999991;34955,80000000005;6944,899999999907;25;1214,206
32,0999999998603;6941,09999999986;42458,80000000005;34963,19999999995;6939;25;1214,206
30,699999999953434;6945;42464,5;34963,89999999991;6942,699999999953;25;1214,206
33,799999999813735;6947,600000000093;42459,799999999814;34955,89999999991;6945;25;1214,206
33,10000000009313;6942,100000000093;42481,10000000009;34968,60000000009;6940,399999999907;25;1214,206
40,200000000186265;7219,299999999814;42456,39999999991;34971,60000000009;7216,5;25;1214,206
38,89999999990687;6946,799999999814;42463,700000000186;34960,700000000186;6944;25;1214,206
49,89999999990687;6937,299999999814;42461,5;34947,09999999963;6935,199999999721;25;1214,206
30,600000000558794;6951,200000000186;42459,40000000037;34956,200000000186;6948,299999999814;25;1214,206
