TTFB;FCP;LCP;Duration;DomInteractive;NumberOfRequests;TotallyTransferredKBytes
31,10000000000582;6946,700000000012;48658,600000000006;35749,79999999999;6935,799999999988;64;759,928
40,39999999999418;6945,5;48618,79999999999;35751,19999999998;6935,599999999977;64;759,948
158,09999999997672;7203,399999999994;48616,899999999965;35755,399999999965;7201,6999999999825;64;759,97
37,800000000046566;6942,100000000035;48611,600000000035;35747,600000000035;6933;64;759,994
32,5;6938;48619,40000000002;35745,90000000002;6936,5;64;759,948
30,600000000034925;7200,700000000012;48643,40000000002;35754,70000000001;7198,400000000023;64;759,948
31,199999999953434;6948,299999999988;48623,79999999999;35766,09999999998;6945,5;64;759,948
33,20000000001164;6943,600000000035;48632,20000000001;35761,100000000035;6942,299999999988;64;759,948
33,300000000046566;6941,699999999953;48637,90000000002;35750,30000000005;6940,300000000047;64;759,948
30,300000000046566;6952,400000000023;48627,40000000002;35769;6948,300000000047;64;759,928
