TTFB;FCP;LCP;Duration;DomInteractive;NumberOfRequests;TotallyTransferredKBytes
34,800000000046566;98;207,80000000004657;113,5999999998603;95,5999999998603;21;15,445
34,799999999813735;99,39999999990687;201,79999999981374;107,5;89,0999999998603;21;15,445
34;96;211,5;109,5;90,89999999990687;21;15,445
30,899999999906868;101,5999999998603;211;108;88,5;21;15,445
30,5;95,4000000001397;207,30000000004657;109,30000000004657;91,4000000001397;21;15,445
29,4000000001397;92,19999999995343;206,30000000004657;108,30000000004657;89,69999999995343;21;15,445
32,89999999990687;102,80000000004657;214,80000000004657;112,19999999995343;94;21;15,445
30,5999999998603;104,79999999981374;209,69999999995343;111,19999999995343;93,0999999998603;21;15,445
31,5;114,30000000004657;200,5;104,39999999990687;86;21;15,445
32,199999999953434;107,69999999995343;211,89999999990687;112;92,5;21;15,445
