TTFB;FCP;LCP;Duration;DomInteractive;NumberOfRequests;TotallyTransferredKBytes
32;6933,199999999953;48096,69999999995;34957,5;6930,699999999953;21;215,142
30,100000000093132;6947,199999999953;48096,39999999991;34962,60000000009;6940,800000000047;21;215,142
32,199999999953434;6933,300000000047;48085,69999999995;34955,30000000005;6932,199999999953;21;215,165
29,800000000046566;6947,59999999986;48104,19999999995;34959,30000000005;6945;21;215,142
31,899999999906868;6936,5;48088,39999999991;34961,19999999995;6934,899999999907;21;215,165
35;6940,5;48091,69999999995;34950,69999999995;6935,399999999907;21;215,142
37,200000000186265;6938,5;48103,90000000014;34944,30000000005;6936,90000000014;21;215,142
31,100000000093132;6948,800000000047;48107,10000000009;34962,19999999995;6946,199999999953;21;215,142
31,700000000186265;6947,40000000014;48101,5;34968,40000000014;6945,200000000186;21;215,142
31,300000000046566;6941,300000000047;48096,69999999995;34964,19999999995;6940;21;215,142
