TTFB;FCP;LCP;Duration;DomInteractive;NumberOfRequests;TotallyTransferredKBytes
34,10000000055879;4321,700000000186;12268,400000000373;7777,600000000559;4316,600000000559;69;1780,282
31,5;4347,699999999255;12293;7806,399999999441;4345,5999999996275;69;1780,259
32,40000000037253;4370,299999999814;12321,900000000373;7834;4368,100000000559;69;1780,259
31,09999999962747;4379,200000000186;12281,399999999441;7803;4377,899999999441;69;1780,259
31,90000000037253;4355;12298,200000000186;7802,100000000559;4352,4000000003725;69;1780,283
32,299999999813735;4349,5;12284,299999999814;7801,799999999814;4347,0999999996275;69;1780,259
29;4341;12280,700000000186;7818,600000000559;4339,600000000559;69;1780,282
30,90000000037253;4353,5;12298,900000000373;7809,200000000186;4348,200000000186;69;1780,259
31,800000000745058;4314,200000000186;12265,600000000559;7772,100000000559;4313,100000000559;69;1780,282
30,40000000037253;4347,4000000003725;12300,200000000186;7813,9000000003725;4346,100000000559;69;1780,259
