TTFB;FCP;LCP;Duration;DomInteractive;NumberOfRequests;TotallyTransferredKBytes
32,60000000009313;4348,700000000186;14584,5;7719,5;4347,300000000047;21;215,142
32,0999999998603;4358,59999999986;14609,699999999953;7709,300000000047;4349,899999999907;21;215,142
31,699999999953434;4388,399999999907;14657,799999999814;7725,199999999953;4386,09999999986;21;215,142
39;4376,40000000014;14649,40000000014;7738,200000000186;4374,40000000014;21;215,142
35,699999999953434;4353,699999999953;14582,800000000047;7688,5;4351,699999999953;21;215,142
33,300000000046566;4354,199999999953;14604,600000000093;7721,600000000093;4351,699999999953;21;215,142
33;4382,699999999953;14624,399999999907;7710,800000000047;4380,699999999953;21;215,142
30,399999999906868;4351,300000000047;14620,699999999953;7718,699999999953;4349,300000000047;21;215,165
31;4348;14605,199999999953;7708,199999999953;4346,5;21;215,142
30,399999999906868;4354,299999999814;14607,899999999907;7707,799999999814;4351,399999999907;21;215,142
