TTFB;FCP;LCP;Duration;DomInteractive;NumberOfRequests;TotallyTransferredKBytes
31,399999999441206;53,89999999944121;158,29999999981374;57,59999999962747;39,19999999925494;36;1043,033
31,09999999962747;46,59999999962747;164,5;58,59999999962747;39,200000000186265;36;1043,033
30,700000000186265;53,200000000186265;158,5;57,60000000055879;38,700000000186265;36;1043,033
32;137,3999999994412;255,29999999981374;147;128,59999999962747;36;1043,033
33;53,200000000186265;173,5;61,700000000186265;41,5;36;1043,033
36,89999999944121;429,8999999994412;545,7000000001863;439,09999999962747;420;36;1043,033
32;276,20000000018626;401,70000000018626;298;272,09999999962747;36;1043,033
32,5;57,200000000186265;168,1000000005588;59,200000000186265;40,5;36;1043,033
35,39999999944121;55,799999999813735;179,5;68,20000000018626;44,700000000186265;36;1043,033
33,10000000055879;58,80000000074506;168;60,30000000074506;41,40000000037253;36;1043,033
