TTFB;FCP;LCP;Duration;DomInteractive;NumberOfRequests;TotallyTransferredKBytes
32,10000000009313;92,5;317;123,60000000009313;91,10000000009313;22;216,854
32;102,9000000001397;335,19999999995343;139,19999999995343;100,5;22;216,854
29,899999999906868;94,0999999998603;309,5999999998603;123,19999999995343;89,79999999981374;22;216,854
31,199999999953434;102,60000000009313;332,80000000004657;137,60000000009313;100,4000000001397;22;216,859
35,39999999990687;98;350,39999999990687;155,19999999995343;96;22;216,854
31;98;332;132,20000000018626;88,9000000001397;21;214,147
29,299999999813735;91;339,89999999990687;131,89999999990687;89,5999999998603;22;216,854
32,39999999990687;96,89999999990687;336,39999999990687;137,19999999995343;95,19999999995343;22;216,877
28,9000000001397;97,10000000009313;331,80000000004657;134,20000000018626;93,80000000004657;22;216,854
31,5;109,0999999998603;334,5;143,29999999981374;97,79999999981374;22;216,854
