TTFB;FCP;LCP;Duration;DomInteractive;NumberOfRequests;TotallyTransferredKBytes
33,700000000186265;2054,9000000001397;2167,600000000093;2070,7000000001863;2049,2000000001863;20;14,776
31,899999999906868;2064,8000000000466;2178,600000000093;2083,3000000000466;2056,6999999999534;20;14,776
37,5;2093;2214,1999999999534;2111,899999999907;2089,3000000000466;20;14,776
31;2067;2187,0999999998603;2087,5999999998603;2060,2999999998137;20;14,776
87,5;2100,1999999999534;2220,899999999907;2119,7999999998137;2093,1999999999534;20;14,776
35,60000000009313;2056,1999999999534;2167,6999999999534;2074,4000000001397;2052,100000000093;20;14,776
33;2061,8000000000466;2177,9000000001397;2080,8000000000466;2054,5;20;14,776
31,100000000093132;2053,100000000093;2160,4000000001397;2066;2046,1999999999534;20;14,776
29,399999999906868;2060,1999999999534;2176,7999999998137;2078;2055,1999999999534;20;14,776
30,100000000093132;2050,9000000001397;2159,9000000001397;2060,600000000093;2042,5;20;14,776
