TTFB;FCP;LCP;Duration;DomInteractive;NumberOfRequests;TotallyTransferredKBytes
33,4000000001397;2414;2524,6999999999534;2430,600000000093;2408,6999999999534;20;14,776
31,600000000093132;2416,6999999999534;2534;2434,899999999907;2412;20;14,776
33,699999999953434;2412,1999999999534;2523,0999999998603;2429,0999999998603;2407,7999999998137;20;14,776
31,800000000046566;2431,8000000000466;2545,6999999999534;2447,600000000093;2420,100000000093;20;14,776
32,199999999953434;2415,100000000093;2527;2425,9000000001397;2407,5;20;14,776
31,200000000186265;2420,8000000000466;2528,5;2433,5;2414,7000000001863;20;14,776
32,300000000046566;2425;2539,9000000001397;2441,5;2417,3000000000466;20;14,776
39,9000000001397;2420,9000000001397;2524,100000000093;2429,7000000001863;2411,4000000001397;20;14,776
30,699999999953434;2434,6999999999534;2554,399999999907;2449,399999999907;2421,600000000093;20;14,776
33,5999999998603;2422,6999999999534;2545,3000000000466;2444,8000000000466;2419,1999999999534;20;14,776
